VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM,SPN_513,SPN_190,SPN_91,SPN_92,SPN_524,SPN_523,SPN_1821,SPN_2806,SPN_1087,SPN_1088,SPN_917,SPN_247,SPN_964,SPN_250,SPN_237,SPN_110,SPN_84,SPN_597,SPN_595,SPN_183,SPN_184,SPN_171,SPN_96
VH2559,M002,KAJANG,SCANIA K250 MRT,18.576569175156095,694.2876547266951,12.618249534450651,23.286614086975572,1.3489429291269581,1.3462591740606857,1.0,,1103.3077007339248,1103.365976558221,267550.7678781904,15469.927001862197,,126275.85743235842,,81.33568846533026,10.211085551539052,,,1908.4462153576515,27.799260598093987,688.5877587906672,81.4970971628875
VAF5762,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,780.7424042272127,13.185838837516513,255.0,1.4512021136063409,1.44221928665786,,,2040.0,2040.0,289236.9730050198,72031.69705151916,,112155.95188903567,,78.76264200792602,9.555402906208718,,,1923.0528295904887,128.0,1765.8163804491414,85.91365918097755
VAE7564,M002,KAJANG,SCANIA K250 MRT,18.391329951078095,792.5329769885849,12.6916107990578,22.570076100742888,1.3575375973908317,1.3561333574922994,1.0,,1084.8536353340883,1087.8680860702152,237278.86789445076,13383.865050962628,,108789.24392950983,,82.01164212910533,10.455970284471825,,,1767.6862837470555,27.03737543033158,793.6586183465458,85.75053227633069
VH3585,M002,KAJANG,SCANIA K250 MRT,19.95490752609412,824.8893517670756,13.546603186229628,24.829793078190807,1.5076451199414027,1.505813953488372,1.0,,1050.1801867789782,1050.9218091924556,231162.549444241,13645.360098882988,,111504.7977018861,,78.6904870902765,11.303058047976561,,,1712.6586476835744,22.811243362021607,628.0385826771654,82.11563816150888
VK6749,M002,KAJANG,SCANIA K250 MRT,17.69097486671744,934.6458492003046,12.001332825590252,21.78141660319878,1.2797029702970297,1.2724676313785224,1.0,,1126.5133282559025,1126.5011424219344,173705.677083016,10152.49436405179,,79914.56835491241,,78.59101294744859,9.505902513328255,,,1512.2376047220107,30.35674028941356,717.5697258187357,81.84272658035034
VAG8051,M002,KAJANG,SCANIA K250 MRT,20.329714061118207,998.8512331728407,14.489535226491107,24.993023484327406,1.5678982018276506,1.5618551636042055,1.0,,1120.2731649798566,1120.2739510661295,222691.4152800432,13003.038326618846,,102219.0897120959,,79.66316203203301,11.949641348137957,,,1513.2233418492679,24.588164488552618,708.3854033605188,80.15667682028102
VH4671,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,750.3325198291641,15.57514744763067,255.0,1.6512609314622737,1.6439902379499696,1.0,,2040.0,2040.0,301504.34805064066,26923.331869025827,,121581.9990085418,,74.44661378889568,11.46384990848078,,,1767.7771710392515,128.0,1696.1930038641449,80.962985560301
VAG8049,M002,KAJANG,SCANIA K250 MRT,20.908962240307336,900.0677349239246,14.231309710357378,25.619066875600264,1.3496436334226356,1.3496941818733257,1.0,,1092.2727594399232,1092.156700197139,262727.432658343,15060.14941111055,,126259.24402264571,,88.66607693474195,10.761815700348784,,,1603.3255977354295,26.262503159278168,746.8080675327301,76.67315371783855
VH4053,M002,KAJANG,SCANIA K250 MRT,19.34407809909744,1107.6454227297845,11.062442438754836,24.38294345183275,1.1048075151961687,1.1014919874746731,1.0,,1052.694787253638,1052.0626266347394,309954.56645054335,17945.959697918584,,149092.14901455148,,80.29121385153803,8.632344814883036,,,1516.731810646528,24.46113464726469,598.1189906060048,70.24700681525142
VG8580,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,825.8749064071023,16.209006310835385,255.0,1.7161728527115199,1.705262594929939,1.0,,2040.0,2040.0,301239.1143796128,39619.098432987485,,122650.83647983741,,80.69371055727885,12.283506257353727,,,1646.2761739223445,128.0,1662.8597710985132,81.14076371804471
VAF5746,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,744.1503782332845,14.956442166910689,255.0,1.759028794533919,1.750732064421669,1.0,,2040.0,2040.0,299406.8017642753,14875.73500488043,,115733.14836505613,,74.79740117130308,11.972974621766715,,,1838.4902269399709,128.0,1738.301000488043,82.98279648609078
VG8690,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,813.9863607579522,17.116761654245213,255.0,1.8092941692240245,1.8058843587120659,1.0,,2040.0,2040.0,301945.7581640606,27726.12669394515,,49104.90542646987,,76.22982122850601,13.019192362024453,,,1744.5467095328559,128.0,1728.4817088021823,82.85586243850163
