VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM
VH2559,M002,KAJANG,SCANIA K250 MRT
VAF5762,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7564,M002,KAJANG,SCANIA K250 MRT
VH3585,M002,KAJANG,SCANIA K250 MRT
VK6749,M002,KAJANG,SCANIA K250 MRT
VAG8051,M002,KAJANG,SCANIA K250 MRT
VH4671,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG8049,M002,KAJANG,SCANIA K250 MRT
VH4053,M002,KAJANG,SCANIA K250 MRT
VG8580,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5746,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8690,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK1014,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4711,M002,KAJANG,SCANIA K250 MRT
VX2919,M002,KAJANG,SCANIA K250 MRT
VH1568,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2869,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG8058,M002,KAJANG,SCANIA K250 MRT
VH4652,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8643,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4604,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4107,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4925,M001,SUNGAI BULOH,VOLVO B7R MRT
VX3739,M002,KAJANG,SCANIA K250 MRT
VAC5773,M001,SUNGAI BULOH,VOLVO B7R MRT
VAC5791,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4992,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4059,M002,KAJANG,SCANIA K250 MRT
VAH9044,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK985,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2534,M002,KAJANG,SCANIA K250 MRT
VAJ7134,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK950,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2057,M002,KAJANG,SCANIA K250 MRT
VAH9053,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4557,M001,SUNGAI BULOH,VOLVO B7R MRT
VAC5764,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5430,M002,KAJANG,SCANIA K250 MRT
VAK967,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2549,M002,KAJANG,SCANIA K250 MRT
VAJ6234,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5441,M002,KAJANG,SCANIA K250 MRT
VX3578,M002,KAJANG,SCANIA K250 MRT
VH3697,M002,KAJANG,SCANIA K250 MRT
VAK1034,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK962,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2875,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2864,M002,KAJANG,SCANIA K250 MRT
VG6491,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4913,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4890,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4683,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7134,M002,KAJANG,SCANIA K250 MRT
VAJ2852,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4961,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9042,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4703,M002,KAJANG,SCANIA K250 MRT
VH1562,M001,SUNGAI BULOH,VOLVO B7R MRT
VK6460,M002,KAJANG,SCANIA K250 MRT
VH4270,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7167,M002,KAJANG,SCANIA K250 MRT
VAE7463,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4318,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4069,M002,KAJANG,SCANIA K250 MRT
VAJ2857,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5464,M002,KAJANG,SCANIA K250 MRT
VK2767,M002,KAJANG,SCANIA K250 MRT
VAJ6314,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2675,M002,KAJANG,SCANIA K250 MRT
VAF5765,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8917,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8742,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6524,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4189,M002,KAJANG,SCANIA K250 MRT
VH1570,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2490,M002,KAJANG,SCANIA K250 MRT
VH2540,M002,KAJANG,SCANIA K250 MRT
VG8755,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2897,M002,KAJANG,SCANIA K250 MRT
VH4044,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4985,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4964,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8769,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ6284,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4307,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8654,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4586,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8673,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7408,M002,KAJANG,SCANIA K250 MRT
VAJ1514,M002,KAJANG,SCANIA K250 MRT
VAJ8974,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9067,M001,SUNGAI BULOH,VOLVO B7R MRT
VH3982,M002,KAJANG,SCANIA K250 MRT
VAJ3415,M002,KAJANG,SCANIA K250 MRT
VX3035,M002,KAJANG,SCANIA K250 MRT
VAG8053,M002,KAJANG,SCANIA K250 MRT
VH2494,M002,KAJANG,SCANIA K250 MRT
VH2544,M002,KAJANG,SCANIA K250 MRT
VAG4892,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8650,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9045,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6477,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4642,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2547,M002,KAJANG,SCANIA K250 MRT
VG8597,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK952,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6493,M001,SUNGAI BULOH,VOLVO B7R MRT
VX3097,M002,KAJANG,SCANIA K250 MRT
VH4043,M002,KAJANG,SCANIA K250 MRT
VAF7157,M002,KAJANG,SCANIA K250 MRT
VAJ2854,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5438,M002,KAJANG,SCANIA K250 MRT
VH4206,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5752,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5761,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9062,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6529,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8591,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4715,M002,KAJANG,SCANIA K250 MRT
VH4037,M002,KAJANG,SCANIA K250 MRT
VAF5434,M002,KAJANG,SCANIA K250 MRT
VX3537,M002,KAJANG,SCANIA K250 MRT
VH4268,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7159,M002,KAJANG,SCANIA K250 MRT
VAE7196,M002,KAJANG,SCANIA K250 MRT
VK6274,M002,KAJANG,SCANIA K250 MRT
VAF5451,M002,KAJANG,SCANIA K250 MRT
VK6448,M002,KAJANG,SCANIA K250 MRT
VAG4725,M002,KAJANG,SCANIA K250 MRT
VH4108,M002,KAJANG,SCANIA K250 MRT
VH1382,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2745,M002,KAJANG,SCANIA K250 MRT
VG8630,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4880,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF691,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4930,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF5750,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2491,M002,KAJANG,SCANIA K250 MRT
VG8748,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7042,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4729,M002,KAJANG,SCANIA K250 MRT
VAG8054,M002,KAJANG,SCANIA K250 MRT
VAG4876,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2607,M002,KAJANG,SCANIA K250 MRT
VH4030,M002,KAJANG,SCANIA K250 MRT
