VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM
VH4642,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8597,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4652,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8715,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4709,M002,KAJANG,SCANIA K250 MRT
VH2490,M002,KAJANG,SCANIA K250 MRT
VH4328,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2514,M002,KAJANG,SCANIA K250 MRT
VG6477,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4107,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ8974,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8673,M001,SUNGAI BULOH,VOLVO B7R MRT
VH3697,M002,KAJANG,SCANIA K250 MRT
VH1562,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ6259,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7593,M002,KAJANG,SCANIA K250 MRT
VH4084,M002,KAJANG,SCANIA K250 MRT
VAK950,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8580,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2767,M002,KAJANG,SCANIA K250 MRT
VX3625,M002,KAJANG,SCANIA K250 MRT
VH2499,M002,KAJANG,SCANIA K250 MRT
VAH9067,M001,SUNGAI BULOH,VOLVO B7R MRT
VAC9627,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7167,M002,KAJANG,SCANIA K250 MRT
VAJ1482,M002,KAJANG,SCANIA K250 MRT
VAJ3412,M002,KAJANG,SCANIA K250 MRT
VAF5434,M002,KAJANG,SCANIA K250 MRT
VAG4711,M002,KAJANG,SCANIA K250 MRT
VAJ2850,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4703,M002,KAJANG,SCANIA K250 MRT
VH4683,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8904,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2557,M002,KAJANG,SCANIA K250 MRT
VM1907,M002,KAJANG,SCANIA K250 MRT
VH4577,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2852,M002,KAJANG,SCANIA K250 MRT
VK2655,M002,KAJANG,SCANIA K250 MRT
VAE7038,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6493,M001,SUNGAI BULOH,VOLVO B7R MRT
VH3750,M002,KAJANG,SCANIA K250 MRT
VAJ1481,M002,KAJANG,SCANIA K250 MRT
VH2547,M002,KAJANG,SCANIA K250 MRT
VAK962,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4108,M002,KAJANG,SCANIA K250 MRT
VAJ6314,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8650,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6473,M001,SUNGAI BULOH,VOLVO B7R MRT
VH3593,M002,KAJANG,SCANIA K250 MRT
VH2531,M002,KAJANG,SCANIA K250 MRT
VAC5764,M001,SUNGAI BULOH,VOLVO B7R MRT
VK2971,M002,KAJANG,SCANIA K250 MRT
VH2542,M002,KAJANG,SCANIA K250 MRT
VH4268,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2057,M002,KAJANG,SCANIA K250 MRT
VH4961,M001,SUNGAI BULOH,VOLVO B7R MRT
VX2864,M002,KAJANG,SCANIA K250 MRT
VH4057,M001,SUNGAI BULOH,VOLVO B7R MRT
VH3603,M002,KAJANG,SCANIA K250 MRT
VAH9045,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4318,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4044,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7104,M002,KAJANG,SCANIA K250 MRT
VAF5339,M002,KAJANG,SCANIA K250 MRT
VH4037,M002,KAJANG,SCANIA K250 MRT
VH2476,M002,KAJANG,SCANIA K250 MRT
VH1568,M001,SUNGAI BULOH,VOLVO B7R MRT
VAE7164,M002,KAJANG,SCANIA K250 MRT
VAF694,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ1570,M001,SUNGAI BULOH,VOLVO B7R MRT
VAL4552,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2876,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ2875,M001,SUNGAI BULOH,VOLVO B7R MRT
VG8591,M001,SUNGAI BULOH,VOLVO B7R MRT
VAK952,M001,SUNGAI BULOH,VOLVO B7R MRT
VAH9053,M001,SUNGAI BULOH,VOLVO B7R MRT
VG6524,M001,SUNGAI BULOH,VOLVO B7R MRT
VAF7116,M002,KAJANG,SCANIA K250 MRT
VAG4873,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ3415,M002,KAJANG,SCANIA K250 MRT
VAJ1514,M002,KAJANG,SCANIA K250 MRT
VG8742,M001,SUNGAI BULOH,VOLVO B7R MRT
VH4086,M001,SUNGAI BULOH,VOLVO B7R MRT
VAJ9136,M001,SUNGAI BULOH,VOLVO B7R MRT
VH2478,M002,KAJANG,SCANIA K250 MRT
VH4671,M001,SUNGAI BULOH,VOLVO B7R MRT
VAG4880,M001,SUNGAI BULOH,VOLVO B7R MRT
VM2846,M002,KAJANG,SCANIA K250 MRT
