BUS ID,Grade
VAC5746,0
VAC5751,0
VAC5764,0
VAC5773,0
VAC5778,0
VAC5791,0
VAC9627,0
VAE7038,0
VAE7042,0
VAE7104,0
VAE7147,0
VAE7164,0
VAE7196,0
VAE7225,0
VAE7340,0
VAE7408,0
VAE7463,2
VAE7492,0
VAE7537,0
VAE7564,0
VAE7593,0
VAF5250,0
VAF5339,0
VAF5430,0
VAF5434,0
VAF5438,0
VAF5439,0
VAF5441,0
VAF5442,0
VAF5451,0
VAF5461,0
VAF5464,0
VAF5480,1
VAF5489,1
VAF5738,0
VAF5743,0
VAF5746,2
VAF5750,2
VAF5752,0
VAF5756,0
VAF5761,0
VAF5762,0
VAF5765,0
VAF5766,0
VAF5780,0
VAF5904,0
VAF6410,0
VAF6417,0
VAF691,0
VAF694,0
VAF7116,0
VAF7134,0
VAF7146,0
VAF7157,0
VAF7159,0
VAF7167,0
VAG4673,0
VAG4680,0
VAG4703,0
VAG4709,0
VAG4711,0
VAG4715,0
VAG4722,1
VAG4725,0
VAG4729,0
VAG4730,0
VAG4750,0
VAG4871,0
VAG4872,0
VAG4873,0
VAG4876,0
VAG4880,0
VAG4890,0
VAG4892,0
VAG4913,0
VAG6349,0
VAG8049,0
VAG8051,0
VAG8053,0
VAG8054,0
VAG8058,0
VAG8541,0
VAH9042,0
VAH9043,0
VAH9044,0
VAH9045,0
VAH9053,0
VAH9062,0
VAH9067,0
VAH9154,0
VAJ1480,1
VAJ1481,0
VAJ1482,0
VAJ1514,1
VAJ1570,0
VAJ2850,0
VAJ2852,0
VAJ2854,0
VAJ2857,0
VAJ2869,2
VAJ2870,0
VAJ2875,0
VAJ2876,0
VAJ2895,0
VAJ3412,0
VAJ3415,0
VAJ6234,2
VAJ6259,0
VAJ6284,0
VAJ6314,0
VAJ6442,0
VAJ7134,0
VAJ8965,0
VAJ8974,0
VAJ9068,0
VAJ9136,0
VAK1014,0
VAK1034,0
VAK1045,0
VAK950,2
VAK952,0
VAK962,0
VAK967,2
VAK985,0
VAL4552,0
VG6473,1
VG6477,0
VG6480,2
VG6491,0
VG6493,0
VG6514,2
VG6519,2
VG6524,1
VG6529,1
VG6550,2
VG8580,0
VG8591,2
VG8593,2
VG8597,2
VG8630,0
VG8643,2
VG8650,0
VG8654,0
VG8671,1
VG8673,1
VG8690,1
VG8703,0
VG8715,1
VG8742,0
VG8748,2
VG8755,1
VG8761,0
VG8765,0
VG8769,0
VG8794,0
VG8845,0
VG8849,0
VG8904,0
VG8917,1
VG8934,0
VH1373,1
VH1382,0
VH1385,0
VH1552,0
VH1562,0
VH1568,0
VH1570,0
VH1579,0
VH2044,0
VH2049,0
VH2055,0
VH2057,0
VH2059,0
VH2476,0
VH2478,0
VH2480,0
VH2485,0
VH2487,0
VH2490,0
VH2491,0
VH2494,0
VH2499,0
VH2514,0
VH2524,0
VH2531,0
VH2534,0
VH2537,0
VH2540,0
VH2542,0
VH2544,0
VH2547,0
VH2549,0
VH2557,0
VH2559,0
VH2675,0
VH2687,0
VH3585,2
VH3593,0
VH3603,0
VH3694,0
VH3697,0
VH3738,1
VH3743,0
VH3745,0
VH3750,0
VH3751,0
VH3982,0
VH4030,0
VH4037,0
VH4043,0
VH4044,0
VH4046,0
VH4053,0
VH4057,0
VH4059,0
VH4062,0
VH4069,0
VH4073,0
VH4081,2
VH4084,0
VH4086,0
VH4089,0
VH4096,0
VH4107,0
VH4108,0
VH4113,0
VH4189,0
VH4206,2
VH4215,2
VH4221,0
VH4236,0
VH4268,1
VH4270,0
VH4283,0
VH4307,0
VH4318,0
VH4328,0
VH4335,2
VH4356,1
VH4557,0
VH4571,2
VH4577,2
VH4586,1
VH4604,2
VH4642,0
VH4643,0
VH4652,0
VH4671,0
VH4683,2
VH4919,0
VH4920,0
VH4921,2
VH4924,0
VH4925,0
VH4930,0
VH4961,0
VH4964,0
VH4985,0
VH4992,0
VK2607,0
VK2655,0
VK2684,0
VK2745,0
VK2767,0
VK2852,0
VK2853,0
VK2906,0
VK2913,0
VK2934,0
VK2947,0
VK2961,0
VK2971,0
VK6243,0
VK6258,0
VK6274,0
VK6295,0
VK6448,0
VK6460,0
VK6475,0
VK6749,0
VM1879,1
VM1897,0
VM1907,0
VM1930,0
VM2846,0
VX2856,0
VX2864,0
VX2890,0
VX2897,0
VX2919,0
VX2960,0
VX3035,0
VX3097,0
VX3537,0
VX3578,0
VX3625,0
VX3739,0
