BUS ID,BR_Repair status,Problem,SPN_247 (Engine Total Hours of Operation),SPN_190 (Engine Speed),SPN_513 (Actual Engine - Percent Torque),SPN_250 (Engine Total Fuel Used),SPN_110 (Engine Coolant Temperature),SPN_183(Engine Fuel Rate),SPN_184 (Engine Instantaneous Fuel Economy),"SPN_92	(Engine Percent Load At Current Speed)",Grade
VG8671,Major,Engine,12267,721,130,10468,79,1756,128,255,B
VG8630,MINOR,Engine,35745,755,130,110137,80,2082,128,255,C
VAF5480,MINOR,Engine,299,801,26,2179,76,1995,6,33,B
VAF5489,MINOR,Engine,247,808,20,1991,80,1761,20,25,B
VAF7134,MINOR,Engine,14099,639,18,111666,78,1971,24,22,B
VAG4673,MINOR,Engine,15934,903,18,133429,81,1617,32,23,C
VAJ1480,MINOR,Engine,4982,830,20,40982,81,1696,25,25,B
VG6519,MINOR,Engine,13684946,1040,130,136849451,79,2503,128,255,C
VG6550,MINOR,Engine,11711,755,130,1024,75,1558,128,255,B
VG8630,MINOR,Engine,35745,755,130,110137,80,2082,128,255,C
VG8671,MAJOR,Engine,12267,721,130,10468,79,1756,128,255,B
VH2549,MINOR,Engine,15178,930,21,117779,80,1606,20,26,B
VH4073,MINOR,Engine,15613,793,19,128626,83,1831,17,25,B
VK2655,MINOR,Engine,15182,789,21,125820,82,1805,19,26,C
VK2745,MINOR,Engine,16096,859,18,131244,79,1443,37,22,B
VX3537,MINOR,Engine,12990,815,22,108138,83,1796,20,28,C
VAE7463,MINOR,Engine,1707295,824,130,16666301,77,1759,128,255,C
VH4030,MINOR,Engine,17522,884,20,144290,81,1797,27,24,C
VH4043,MINOR,Engine,15538,707,19,127914,78,1926,18,24,B
VH4206,MINOR,Engine,5287376,857,130,52873710,75,1900,128,255,C
VK6460,MINOR,Engine,16118,644,19,131186,80,1813,6,25,C
VAE7147,INC.REPAIR,Body,15816,934,20,129324,81,1700,23,25,A
VAE7340,INC.REPAIR,Body,14191,780,17,115616,79,1640,24,22,A
VAE7492,ACC.REPAIR,Body,15562,743,21,127239,81,1921,19,27,A
VAE7593,INC.REPAIR,Body,15388,914,20,125870,82,1713,23,25,A
VAF5250,ACC.REPAIR,Body,16291,799,20,129391,81,1886,14,25,A
VAF5339,ACC.REPAIR,Body,17019,768,20,137297,84,1778,23,25,A
VAF5464,ACC.REPAIR,Body,15691,913,18,125619,80,1594,26,22,A
VAF5780,MINOR,Body,36815,874,130,112321,74,1780,128,255,B
VAF6417,ACC.REPAIR,Body,13368,812,21,108878,86,1921,16,26,A
VAG6349,ACC.REPAIR,Body,13844,722,20,110151,79,1923,21,25,A
VAG8051,ACC.REPAIR,Body,13494,755,19,105796,79,1836,27,24,A
VAJ1570,ACC.REPAIR,Body,34859,770,130,114988,73,1802,128,255,A
VAK962,ACC.REPAIR,Body,16591,733,130,119245,70,2076,128,255,A
VH2049,ACC.REPAIR,Body,16963,846,21,132798,78,1920,11,27,A
VH2487,ACC.REPAIR,Body,15453,791,19,125793,77,1908,13,24,A
VH2524,ACC.REPAIR,Body,14780,804,20,119612,81,1797,27,24,A
VH3982,ACC.REPAIR,Body,15715,935,21,131466,80,1878,12,27,A
VH4069,ACC.REPAIR,Body,14309,904,20,114318,79,1829,15,26,A
VH4113,INC.REPAIR,Body,15894,952,22,130522,81,1729,24,28,A
VH4571,MINOR,Body,49157,865,130,122810,74,1533,128,255,A
VK2684,INC.REPAIR,Body,14326,1185,19,113585,80,1380,13,25,A
VK6475,INC.REPAIR,Body,15534,859,20,131796,82,1613,23,25,A
VM1879,INC.REPAIR,Body,897,808,21,6673,80,1869,21,26,A
VX2890,INC.REPAIR,Body,16607,1027,22,132123,84,1697,20,27,A
VX3035,INC.REPAIR,Body,15543,895,24,122633,85,1713,21,29,A
VX3578,ACC.REPAIR,Body,12676,883,20,99914,82,1713,23,24,A
VH4030,INC.REPAIR,Body,17522,884,20,144290,81,1797,27,24,A
